molecule_chembl_id,type,standard_units,standard_value,smiles
CHEMBL4211367,Ki,nM,3.0,C=CC(=O)N1C[C@H](Nc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@@H](F)C1
CHEMBL4209368,Ki,nM,105.0,C=CC(=O)N1CC[C@@H](Nc2nc(Nc3cnn(C)c3)c3ncn(C(C)C)c3n2)C1
CHEMBL4204498,Ki,nM,56.0,C=CC(=O)N1C[C@H](Nc2nc(Nc3cnn(C)c3)c3ncn(C(C)C)c3n2)[C@@H](F)C1
CHEMBL3608432,Ki,nM,17.0,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3C)c3ncn(C(C)C)c3n2)C[C@H]1F
CHEMBL4216679,Ki,nM,8.0,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C(C)C)c3n2)C[C@H]1F
CHEMBL4218154,Ki,nM,19.0,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3CC)c3ncn(C(C)C)c3n2)C[C@H]1F
CHEMBL4208829,Ki,nM,18.0,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C(C)(C)C)c3n2)C[C@H]1F
CHEMBL4205392,Ki,nM,6.0,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(CC)c3n2)C[C@H]1F
CHEMBL3989970,Ki,nM,13.0,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C)c3n2)C[C@H]1F
CHEMBL4217461,Ki,nM,2740.0,COc1cccc(CNc2ccnc3oc4ccc([N+](=O)[O-])cc4c23)c1
CHEMBL4217976,Ki,nM,2050.0,COc1ccc(CNc2ccnc3oc4ccc([N+](=O)[O-])cc4c23)cc1
CHEMBL4213049,Ki,nM,1360.0,O=[N+]([O-])c1ccc2oc3nccc(NCc4cccc(Cl)c4)c3c2c1
CHEMBL4203084,Ki,nM,2520.0,O=[N+]([O-])c1ccc2oc3nccc(NCc4ccc(Cl)cc4)c3c2c1
CHEMBL4208649,Ki,nM,680.0,O=[N+]([O-])c1ccc2oc3nccc(NCc4cccc(Br)c4)c3c2c1
CHEMBL4209187,Ki,nM,810.0,O=[N+]([O-])c1ccc2oc3nccc(NCc4ccc(Br)cc4)c3c2c1
CHEMBL4204320,Ki,nM,3590.0,Nc1cccc(CNc2ccnc3oc4ccc([N+](=O)[O-])cc4c23)c1
CHEMBL4211341,Ki,nM,930.0,O=[N+]([O-])c1cccc(CNc2ccnc3oc4ccc([N+](=O)[O-])cc4c23)c1
CHEMBL4210187,Ki,nM,170.0,COc1cccc(CNc2ccnc3oc4ccc(N)cc4c23)c1
CHEMBL4203339,Ki,nM,400.0,Nc1ccc2oc3nccc(NCc4cccc(Cl)c4)c3c2c1
CHEMBL4213021,Ki,nM,230.0,Nc1ccc2oc3nccc(NCc4cccc(Br)c4)c3c2c1
CHEMBL4206140,Ki,nM,940.0,Nc1cccc(CNc2ccnc3oc4ccc(N)cc4c23)c1
CHEMBL4217440,Ki,nM,330.0,COc1cccc(CNc2ccnc3[nH]c4ccc([N+](=O)[O-])cc4c23)c1
